tagID,albumID,photoID,personID,c1,c2,c3,c4
0,644,,0,,,,
1,456,,1,,,,
2,450,,2,,,,
3,450,,3,,,,
4,451,,1,,,,
5,449,,1,,,,
6,449,,0,,,,
7,454,,4,,,,
8,456,,1,,,,
9,456,,5,,,,
10,456,,6,,,,
11,456,,7,,,,
12,443,,1,,,,
13,456,,1,,,,
14,456,,5,,,,
15,430,,0,,,,
16,684,,0,,,,
17,684,,8,,,,
18,449,,1,,,,
19,380,,0,,,,
20,46,,9,,,,
21,328,,10,,,,
22,450,,11,,,,
23,450,,12,,,,
24,456,,13,,,,
25,434,,0,,,,
26,687,,14,,,,
27,434,,15,,,,
28,296,,16,,,,
29,450,,17,,,,
30,291,,18,,,,
31,291,,19,,,,
32,291,,20,,,,
33,291,,21,,,,
34,300,,21,,,,
35,135,,22,,,,
36,135,,23,,,,
37,693,,24,,,,
38,434,,15,,,,
39,684,,15,,,,
40,341,,15,,,,
41,341,,0,,,,
42,346,,0,,,,
43,470,,0,,,,
44,470,,25,,,,
45,470,,25,,,,
46,470,,26,,,,
47,470,,27,,,,
48,470,,27,,,,
49,472,,28,,,,
50,472,,29,,,,
51,471,,25,,,,
52,471,,25,,,,
53,471,,26,,,,
54,459,,15,,,,
55,687,,30,,,,
56,412,,31,,,,
57,647,,32,,,,
58,647,,33,,,,
59,553,,34,,,,
60,343,,35,,,,
61,243,,36,,,,
62,696,,0,,,,
63,685,,0,,,,
64,685,,15,,,,
65,305,,37,,,,
66,305,,38,,,,
67,644,,39,,,,
68,648,,40,,,,
69,673,,34,,,,
70,278,,41,,,,
71,472,,42,,,,
72,472,,43,,,,
73,472,,44,,,,
74,678,,45,,,,
75,135,,46,,,,
76,454,,47,,,,
77,454,,48,,,,
78,454,,1,,,,
79,377,,49,,,,
80,377,,50,,,,
81,683,,50,,,,
82,107,,0,,,,
83,234,,51,,,,
84,636,,52,,,,
85,668,,35,,,,
86,239,,53,,,,
87,239,,54,,,,
88,279,,0,,,,
89,279,,34,,,,
90,279,,55,,,,
91,279,,56,,,,
92,279,,57,,,,
93,387,,58,,,,
94,387,,0,,,,
95,387,,15,,,,
96,387,,24,,,,
97,387,,51,,,,
98,387,,59,,,,
99,387,,49,,,,
100,387,,54,,,,
101,368,,44,,,,
102,368,,49,,,,
103,368,,0,,,,
104,368,,59,,,,
105,493,,0,,,,
106,577,,0,,,,
107,577,,25,,,,
108,577,,24,,,,
109,577,,60,,,,
110,577,,61,,,,
111,577,,62,,,,
112,577,,63,,,,
113,577,,64,,,,
114,577,,15,,,,
115,577,,65,,,,
116,577,,66,,,,
117,80,,67,,,,
118,267,,68,,,,
119,433,,69,,,,
120,433,,0,,,,
121,433,,15,,,,
122,369,,0,,,,
123,319,,70,,,,
124,538,,71,,,,
125,369,,72,,,,
126,443,,73,,,,
127,456,,5,,,,
128,451,,74,,,,
129,219,,75,,,,
130,11,183-23,76,444.0,140.0,102.0,88.0
131,11,182-15,76,392.0,77.0,148.0,172.0
132,13,210-10,77,435.0,122.0,80.0,97.0
133,13,210-10,76,172.0,118.0,91.0,101.0
134,13,200-23,77,117.0,149.0,93.0,91.0
135,23,326-3,2,112.0,108.0,92.0,111.0
136,2,150-1,3,366.0,158.0,92.0,87.0
137,2,143-1,78,401.0,103.0,76.0,76.0
138,11,183-23,1,351.0,174.0,79.0,77.0
139,13,200-22,76,378.0,120.0,119.0,125.0
140,13,199-16,76,334.0,41.0,128.0,141.0
141,13,196-1,76,445.0,101.0,70.0,71.0
142,13,196-1,1,228.0,128.0,70.0,71.0
143,13,196-1,77,103.0,90.0,79.0,82.0
144,13,197-6,77,391.0,82.0,111.0,112.0
145,13,199-16,79,332.0,44.0,142.0,135.0
146,13,197-5,77,216.0,294.0,213.0,208.0
147,2,145-13,80,375.0,141.0,111.0,89.0
148,11,187-10,81,189.0,246.0,189.0,208.0
149,2,145-11,82,182.0,89.0,92.0,59.0
150,11,183-24,83,221.0,190.0,54.0,52.0
151,2,145-11,84,395.0,110.0,67.0,55.0
152,2,145-11,3,319.0,106.0,55.0,55.0
153,11,186-6,85,220.0,99.0,111.0,111.0
154,12,691-27,86,384.0,120.0,68.0,79.0
155,12,691-27,1,199.0,135.0,71.0,77.0
156,12,691-27,76,490.0,103.0,84.0,89.0
157,11,180-3,87,302.0,90.0,131.0,158.0
158,11,195-23,88,243.0,152.0,91.0,93.0
159,11,188-17,83,428.0,34.0,122.0,123.0
160,11,186-3,76,234.0,93.0,150.0,159.0
161,13,214-33,89,312.0,178.0,67.0,73.0
162,11,187-11,90,243.0,281.0,160.0,216.0
163,13,198-12,78,116.0,52.0,121.0,109.0
164,11,188-19,88,79.0,126.0,82.0,90.0
165,685,357-8,91,212.0,363.0,138.0,137.0
166,685,357-8,15,352.0,397.0,66.0,111.0
167,685,366-1,91,228.0,111.0,80.0,72.0
168,685,369-16,91,286.0,153.0,99.0,84.0
169,685,369-16,1,428.0,191.0,88.0,75.0
170,685,369-16,15,503.0,94.0,75.0,72.0
171,685,369-15,91,75.0,27.0,185.0,197.0
172,685,369-15,1,428.0,99.0,182.0,167.0
173,685,369-17,91,168.0,316.0,168.0,165.0
174,685,369-17,1,443.0,371.0,126.0,127.0
175,685,369-17,15,312.0,203.0,107.0,121.0
176,685,365-22,26,152.0,75.0,104.0,100.0
177,685,365-25,91,242.0,86.0,139.0,134.0
178,685,366-0,91,196.0,111.0,76.0,75.0
179,685,366-1,0,504.0,112.0,48.0,55.0
180,685,366-1,92,542.0,102.0,66.0,82.0
181,685,366-1,93,326.0,103.0,78.0,79.0
182,54,STA_SOC_006SM,94,78.0,163.0,42.0,45.0
