ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,remarks,evtitle,evtype,dept,submittedby,galleryname,evdate,oldcode
5,1,2011-10-03 02:53:05,2011-10-03 02:53:05,"[random max=18]

",Home,,publish,open,open,,about-digital-images,,,2017-03-07 14:42:19,2017-03-07 06:42:19,,0,http://lbnx95.ust.hk/gallery/?page_id=5,0,page,,0,"[random max=18]

",,,,,,,
6,1,2011-10-03 02:53:54,2011-10-03 02:53:54,"<!-- 2015.06.17
Completed loading of 949 events with 40630 images. -->

HKUST Digital Images contains memories of early University events from 1988 to 1999. Supported by the Office of the Executive Vice-President and Provost, we have digitized images from slides, prints or negatives transferred to the <a href=""http://library.ust.hk/collections-resources/archives/"">University Archives</a> from various offices, including Public Affairs Office and Publishing Technology Center (PTC). For photos of current University events please refer to the <a href=""http://ptc.ust.hk/photocat/"">Photo Gallery</a> of PTC.

We encourage all members of the HKUST community and alumni to tag the images and provide more information about the events. Keep checking and share with your friends.

<h2 class=""entry-title"">Contact Us</h2>
<a href=""http://library.ust.hk/collections-resources/archives/"" target=""_blank"">University Archives</a>, HKUST Library
Telephone: (852) 2358-6784 
Email: <a href=""mailto:lbarsc@ust.hk"" title=""lbarsc@ust.hk"">lbarsc@ust.hk</a>
<a href=""http://library.ust.hk/map/1f-archive"" target=""_blank"">Location</a>",About,,publish,open,open,,news,,,2017-03-07 14:44:36,2017-03-07 06:44:36,,0,http://lbnx95.ust.hk/gallery/?page_id=6,1,page,,0,"<!-- 2015.06.17
Completed loading of 949 events with 40630 images. -->

HKUST Digital Images contains memories of early University events from 1988 to 1999. Supported by the Office of the Executive Vice-President and Provost, we have digitized images from slides, prints or negatives transferred to the <a href=""http://library.ust.hk/collections-resources/archives/"">University Archives</a> from various offices, including Public Affairs Office and Publishing Technology Center (PTC). For photos of current University events please refer to the <a href=""http://ptc.ust.hk/photocat/"">Photo Gallery</a> of PTC.

We encourage all members of the HKUST community and alumni to tag the images and provide more information about the events. Keep checking and share with your friends.

<h2 class=""entry-title"">Contact Us</h2>
<a href=""http://library.ust.hk/collections-resources/archives/"" target=""_blank"">University Archives</a>, HKUST Library
Telephone: (852) 2358-6784 
Email: <a href=""mailto:lbarsc@ust.hk"" title=""lbarsc@ust.hk"">lbarsc@ust.hk</a>
<a href=""http://library.ust.hk/map/1f-archive"" target=""_blank"">Location</a>",,,,,,,
8,1,2011-10-03 02:58:58,2011-10-03 02:58:58,http://lbnx39.ust.hk/gallery/wp-content/uploads/2011/10/revised1-940x150.png,revised1-940x150.png,,inherit,open,open,,revised1-940x150-png,,,2011-10-03 02:58:58,2011-10-03 02:58:58,,0,http://lbnx39.ust.hk/gallery/wp-content/uploads/2011/10/revised1-940x150.png,0,attachment,image/png,0,http://lbnx39.ust.hk/gallery/wp-content/uploads/2011/10/revised1-940x150.png,,,,,,,
594,1,2011-10-23 20:07:09,2011-10-23 12:07:09,http://digitalimages.ust.hk/gallery/wp-content/uploads/2011/10/revised-banner-di.png,revised-banner-di.png,,inherit,open,open,,revised-banner-di-png,,,2011-10-23 20:07:09,2011-10-23 12:07:09,,0,http://digitalimages.ust.hk/gallery/wp-content/uploads/2011/10/revised-banner-di.png,0,attachment,image/png,0,http://digitalimages.ust.hk/gallery/wp-content/uploads/2011/10/revised-banner-di.png,,,,,,,
601,2,2012-03-08 12:05:01,2012-03-08 04:05:01,"[evtitle]OCLC Institute Knowledge Management: Methods and Systems, 19-21 June 2000
[evtype]Colloquium
[dept]Library
[submittedby]LIB
[galleryname]lib-0006
[evdate]2000-06-19
","OCLC Institute Knowledge Management: Methods and Systems, 19-21 June 2000",,publish,open,open,,lib-0006,,,2012-03-08 12:05:01,2012-03-08 04:05:01,,0,http://digitalimages.ust.hk/gallery/?p=601,0,post,,0,,"OCLC Institute Knowledge Management: Methods and Systems, 19-21 June 2000",Colloquium,Library,LIB,lib-0006,2000-06-19,
602,2,2012-03-08 12:05:03,2012-03-08 04:05:03,"[evtitle]Recent Works by Karla Gaenessler, 8 November 2000 to 31 January 2001
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-0011
[evdate]2000-11-08
","Recent Works by Karla Gaenessler, 8 November 2000 to 31 January 2001",,publish,open,open,,lib-0011,,,2012-03-08 12:05:03,2012-03-08 04:05:03,,0,http://digitalimages.ust.hk/gallery/?p=602,0,post,,0,,"Recent Works by Karla Gaenessler, 8 November 2000 to 31 January 2001",Exhibition,Library,LIB,lib-0011,2000-11-08,
603,2,2012-03-08 12:05:03,2012-03-08 04:05:03,"[evtitle]2001 PNC Pacific Neighborhood Consortium Annual Conference and Joint Meetings, 15-20 January 2001
[evtype]Conference
[dept]Library
[submittedby]LIB
[galleryname]lib-0101
[evdate]2001-01-15
","2001 PNC Pacific Neighborhood Consortium Annual Conference and Joint Meetings, 15-20 January 2001",,publish,open,open,,lib-0101,,,2012-03-08 12:05:03,2012-03-08 04:05:03,,0,http://digitalimages.ust.hk/gallery/?p=603,0,post,,0,,"2001 PNC Pacific Neighborhood Consortium Annual Conference and Joint Meetings, 15-20 January 2001",Conference,Library,LIB,lib-0101,2001-01-15,
604,2,2012-03-08 12:05:03,2012-03-08 04:05:03,"[evtitle]Calligraphy Works by Grace. Y.T. Tong, 13 February 2001 to 18 March 2001
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-0102
[evdate]2001-02-13
","Calligraphy Works by Grace. Y.T. Tong, 13 February 2001 to 18 March 2001",,publish,open,open,,lib-0102,,,2012-03-08 12:05:03,2012-03-08 04:05:03,,0,http://digitalimages.ust.hk/gallery/?p=604,0,post,,1,,"Calligraphy Works by Grace. Y.T. Tong, 13 February 2001 to 18 March 2001",Exhibition,Library,LIB,lib-0102,2001-02-13,
605,2,2012-03-08 12:05:04,2012-03-08 04:05:04,"[evtitle]&quot;Landmarks in Science and Technology&quot; - Library's First Ten Years, HKUST Library, 21 September 2001 - 31 January 2002
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-0109
[evdate]2001-09-21
","&quot;Landmarks in Science and Technology&quot; - Library's First Ten Years, HKUST Library, 21 September 2001 - 31 January 2002",,publish,open,open,,lib-0109,,,2012-03-08 12:05:04,2012-03-08 04:05:04,,0,http://digitalimages.ust.hk/gallery/?p=605,0,post,,0,,"&quot;Landmarks in Science and Technology&quot; - Library's First Ten Years, HKUST Library, 21 September 2001 - 31 January 2002",Exhibition,Library,LIB,lib-0109,2001-09-21,
606,2,2012-03-08 12:05:04,2012-03-08 04:05:04,"[evtitle]Splendors of the West, photographs by Jin Shouxian, 13 March 2002 to 30 May 2002
[evtype]Exhibition
[dept]Library
[submittedby]LIB
[galleryname]lib-0203
[evdate]2002-03-13
","Splendors of the West, photographs by Jin Shouxian, 13 March 2002 to 30 May 2002",,publish,open,open,,lib-0203,,,2012-03-08 12:05:04,2012-03-08 04:05:04,,0,http://digitalimages.ust.hk/gallery/?p=606,0,post,,0,,"Splendors of the West, photographs by Jin Shouxian, 13 March 2002 to 30 May 2002",Exhibition,Library,LIB,lib-0203,2002-03-13,
